tweet_id,favorites,retweets,user_followers,user_favourites,date_time
678800283649069056,2523,878,8796143,145903,2015-12-21 04:52:53+00:00
678798276842360832,3393,1135,8796143,145903,2015-12-21 04:44:55+00:00
678774928607469569,2764,883,8796143,145903,2015-12-21 03:12:08+00:00
678767140346941444,3463,1328,8796143,145903,2015-12-21 02:41:11+00:00
678764513869611008,1606,463,8796143,145903,2015-12-21 02:30:45+00:00
678755239630127104,6969,3204,8796143,145903,2015-12-21 01:53:54+00:00
678740035362037760,3685,1638,8796143,145903,2015-12-21 00:53:29+00:00
678708137298427904,5498,2372,8796143,145903,2015-12-20 22:46:44+00:00
678675843183484930,2807,1425,8796144,145903,2015-12-20 20:38:24+00:00
678643457146150913,2009,394,8796144,145903,2015-12-20 18:29:43+00:00
678446151570427904,3924,1504,8796144,145903,2015-12-20 05:25:42+00:00
678424312106393600,5373,2482,8796144,145903,2015-12-20 03:58:55+00:00
678410210315247616,4130,1765,8796144,145903,2015-12-20 03:02:53+00:00
678399652199309312,77747,31018,8796144,145903,2015-12-20 02:20:55+00:00
678396796259975168,1561,405,8796144,145903,2015-12-20 02:09:34+00:00
678389028614488064,1834,412,8796144,145903,2015-12-20 01:38:42+00:00
678380236862578688,2388,888,8796144,145903,2015-12-20 01:03:46+00:00
678341075375947776,1695,524,8796144,145903,2015-12-19 22:28:09+00:00
678334497360859136,1284,247,8796145,145903,2015-12-19 22:02:01+00:00
678278586130948096,11215,5947,8796145,145903,2015-12-19 18:19:51+00:00
678255464182861824,1563,356,8796145,145903,2015-12-19 16:47:58+00:00
678023323247357953,1877,374,8796145,145903,2015-12-19 01:25:31+00:00
678021115718029313,13353,6184,8796145,145903,2015-12-19 01:16:45+00:00
677961670166224897,3344,1644,8796145,145903,2015-12-18 21:20:32+00:00
677918531514703872,1315,397,8796145,145903,2015-12-18 18:29:07+00:00
677895101218201600,4723,2016,8796145,145903,2015-12-18 16:56:01+00:00
677716515794329600,2992,958,8796145,145903,2015-12-18 05:06:23+00:00
677700003327029250,3319,1412,8796145,145903,2015-12-18 04:00:46+00:00
677698403548192770,1205,311,8796145,145903,2015-12-18 03:54:25+00:00
677687604918272002,2438,828,8796145,145903,2015-12-18 03:11:30+00:00
677673981332312066,3264,1461,8796145,145903,2015-12-18 02:17:22+00:00
677662372920729601,1912,928,8796145,145903,2015-12-18 01:31:14+00:00
677644091929329666,1817,779,8796145,145903,2015-12-18 00:18:36+00:00
677573743309385728,2087,684,8796145,145903,2015-12-17 19:39:03+00:00
677565715327688705,1276,452,8796145,145903,2015-12-17 19:07:09+00:00
677557565589463040,2394,1122,8796145,145903,2015-12-17 18:34:46+00:00
677547928504967168,6789,3587,8796145,145903,2015-12-17 17:56:29+00:00
677530072887205888,1041,222,8796145,145903,2015-12-17 16:45:31+00:00
677335745548390400,2978,1725,8796145,145903,2015-12-17 03:53:20+00:00
677334615166730240,1320,278,8796145,145903,2015-12-17 03:48:51+00:00
677331501395156992,1065,231,8796145,145903,2015-12-17 03:36:28+00:00
677328882937298944,3559,1461,8796145,145903,2015-12-17 03:26:04+00:00
677314812125323265,1607,520,8796145,145903,2015-12-17 02:30:09+00:00
677301033169788928,1206,391,8796145,145903,2015-12-17 01:35:24+00:00
677269281705472000,1933,687,8796145,145903,2015-12-16 23:29:14+00:00
677228873407442944,3463,1595,8796145,145903,2015-12-16 20:48:40+00:00
677187300187611136,2678,894,8796145,145903,2015-12-16 18:03:28+00:00
676975532580409345,2707,1039,8796145,145903,2015-12-16 04:01:59+00:00
676957860086095872,2189,791,8796145,145903,2015-12-16 02:51:45+00:00
676949632774234114,1274,384,8796146,145903,2015-12-16 02:19:04+00:00
676948236477857792,2106,843,8796146,145903,2015-12-16 02:13:31+00:00
676946864479084545,1692,359,8796146,145903,2015-12-16 02:08:04+00:00
676942428000112642,2022,729,8796146,145903,2015-12-16 01:50:26+00:00
676936541936185344,12404,4791,8796147,145903,2015-12-16 01:27:03+00:00
676916996760600576,2913,1762,8796147,145903,2015-12-16 00:09:23+00:00
676897532954456065,2196,707,8796147,145903,2015-12-15 22:52:02+00:00
676864501615042560,2048,688,8796147,145903,2015-12-15 20:40:47+00:00
676821958043033607,22343,15119,8796147,145903,2015-12-15 17:51:44+00:00
676819651066732545,1775,647,8796147,145903,2015-12-15 17:42:34+00:00
676811746707918848,1389,412,8796147,145903,2015-12-15 17:11:09+00:00
676776431406465024,4870,1969,8796147,145903,2015-12-15 14:50:49+00:00
676617503762681856,2813,930,8796147,145903,2015-12-15 04:19:18+00:00
676613908052996102,1053,195,8796147,145903,2015-12-15 04:05:01+00:00
676606785097199616,1841,418,8796147,145903,2015-12-15 03:36:42+00:00
676603393314578432,1131,372,8796147,145903,2015-12-15 03:23:14+00:00
676593408224403456,4438,2098,8796147,145903,2015-12-15 02:43:33+00:00
676590572941893632,891,117,8796147,145903,2015-12-15 02:32:17+00:00
676588346097852417,2249,757,8796147,145903,2015-12-15 02:23:26+00:00
676582956622721024,1161,265,8796147,145903,2015-12-15 02:02:01+00:00
676575501977128964,2514,1083,8796147,145903,2015-12-15 01:32:24+00:00
676533798876651520,1824,536,8796147,145903,2015-12-14 22:46:41+00:00
676496375194980353,1480,517,8796147,145903,2015-12-14 20:17:59+00:00
676470639084101634,11292,4525,8796147,145903,2015-12-14 18:35:43+00:00
676440007570247681,1678,641,8796147,145903,2015-12-14 16:34:00+00:00
676430933382295552,1358,330,8796147,145903,2015-12-14 15:57:56+00:00
676263575653122048,2028,525,8796147,145903,2015-12-14 04:52:55+00:00
676237365392908289,1175,279,8796147,145903,2015-12-14 03:08:46+00:00
676219687039057920,74321,30086,8796147,145903,2015-12-14 01:58:31+00:00
676215927814406144,1687,556,8796147,145903,2015-12-14 01:43:35+00:00
676191832485810177,2218,1001,8796147,145903,2015-12-14 00:07:50+00:00
676146341966438401,1865,641,8796147,145903,2015-12-13 21:07:04+00:00
676121918416756736,2101,1125,8796147,145903,2015-12-13 19:30:01+00:00
676101918813499392,2747,1131,8796147,145903,2015-12-13 18:10:33+00:00
676098748976615425,2911,1373,8796147,145903,2015-12-13 17:57:57+00:00
676089483918516224,1275,424,8796147,145903,2015-12-13 17:21:08+00:00
675898130735476737,1568,555,8796147,145903,2015-12-13 04:40:46+00:00
675891555769696257,2063,826,8796147,145903,2015-12-13 04:14:39+00:00
675888385639251968,2302,926,8796147,145903,2015-12-13 04:02:03+00:00
675878199931371520,4058,1355,8796147,145903,2015-12-13 03:21:34+00:00
675870721063669760,1573,548,8796147,145903,2015-12-13 02:51:51+00:00
675853064436391936,2609,1249,8796147,145903,2015-12-13 01:41:41+00:00
675849018447167488,916,138,8796147,145903,2015-12-13 01:25:37+00:00
675845657354215424,2203,847,8796147,145903,2015-12-13 01:12:15+00:00
675822767435051008,1478,518,8796147,145903,2015-12-12 23:41:18+00:00
675820929667219457,1016,227,8796147,145903,2015-12-12 23:34:00+00:00
675798442703122432,9937,3303,8796147,145903,2015-12-12 22:04:39+00:00
675781562965868544,1581,450,8796147,145903,2015-12-12 20:57:34+00:00
675740360753160193,1132,329,8796147,145903,2015-12-12 18:13:51+00:00
675710890956750848,1825,786,8796147,145903,2015-12-12 16:16:45+00:00
675707330206547968,1910,659,8796147,145903,2015-12-12 16:02:36+00:00
675706639471788032,626,90,8796147,145903,2015-12-12 15:59:51+00:00
675534494439489536,1772,396,8796147,145903,2015-12-12 04:35:48+00:00
675531475945709568,1148,368,8796147,145903,2015-12-12 04:23:49+00:00
675522403582218240,1011,276,8796147,145903,2015-12-12 03:47:46+00:00
675517828909424640,1247,451,8796147,145903,2015-12-12 03:29:35+00:00
675501075957489664,16617,5629,8796147,145903,2015-12-12 02:23:01+00:00
675497103322386432,3034,1241,8796147,145903,2015-12-12 02:07:14+00:00
675489971617296384,1253,573,8796147,145903,2015-12-12 01:38:53+00:00
675483430902214656,1787,942,8796147,145903,2015-12-12 01:12:54+00:00
675432746517426176,1471,549,8796147,145903,2015-12-11 21:51:30+00:00
675372240448454658,1628,499,8796147,145903,2015-12-11 17:51:04+00:00
675362609739206656,1022,221,8796148,145903,2015-12-11 17:12:48+00:00
675354435921575936,31446,16173,8795466,145902,2015-12-11 16:40:19+00:00
675349384339542016,3786,2187,8796148,145903,2015-12-11 16:20:15+00:00
675334060156301312,2670,1238,8796148,145903,2015-12-11 15:19:21+00:00
675166823650848770,3450,1528,8796148,145903,2015-12-11 04:14:49+00:00
675153376133427200,6027,2475,8796148,145903,2015-12-11 03:21:23+00:00
675149409102012420,3627,1619,8796148,145903,2015-12-11 03:05:37+00:00
675147105808306176,910,221,8796148,145903,2015-12-11 02:56:28+00:00
675146535592706048,1142,285,8796148,145903,2015-12-11 02:54:12+00:00
675145476954566656,2057,856,8796148,145903,2015-12-11 02:49:59+00:00
675135153782571009,1262,462,8796148,145903,2015-12-11 02:08:58+00:00
675113801096802304,1879,756,8796148,145903,2015-12-11 00:44:07+00:00
675111688094527488,927,242,8796148,145903,2015-12-11 00:35:44+00:00
675109292475830276,2696,1091,8796148,145903,2015-12-11 00:26:12+00:00
675047298674663426,1029,307,8796148,145903,2015-12-10 20:19:52+00:00
675015141583413248,2609,1135,8796148,145903,2015-12-10 18:12:05+00:00
675006312288268288,944,211,8796148,145903,2015-12-10 17:37:00+00:00
675003128568291329,1503,446,8796148,145903,2015-12-10 17:24:21+00:00
674999807681908736,2162,1063,8796148,145903,2015-12-10 17:11:09+00:00
674805413498527744,831,342,8796148,145903,2015-12-10 04:18:42+00:00
674800520222154752,2907,818,8796148,145903,2015-12-10 03:59:15+00:00
674793399141146624,2418,1045,8796148,145903,2015-12-10 03:30:58+00:00
674790488185167872,1064,241,8796148,145903,2015-12-10 03:19:24+00:00
674788554665512960,785,203,8796148,145903,2015-12-10 03:11:43+00:00
674781762103414784,1937,1147,8796148,145903,2015-12-10 02:44:43+00:00
674774481756377088,1071,452,8796148,145903,2015-12-10 02:15:47+00:00
674767892831932416,1757,751,8796148,145903,2015-12-10 01:49:36+00:00
674764817387900928,766,229,8796148,145903,2015-12-10 01:37:23+00:00
674754018082705410,1318,425,8796148,145903,2015-12-10 00:54:28+00:00
674752233200820224,1414,447,8796148,145903,2015-12-10 00:47:23+00:00
674743008475090944,1351,526,8796148,145903,2015-12-10 00:10:43+00:00
674742531037511680,468,49,8796148,145903,2015-12-10 00:08:50+00:00
674739953134403584,1060,372,8796148,145903,2015-12-09 23:58:35+00:00
674737130913071104,623,84,8796148,145903,2015-12-09 23:47:22+00:00
674690135443775488,1103,454,8796148,145903,2015-12-09 20:40:38+00:00
674670581682434048,1551,618,8796148,145903,2015-12-09 19:22:56+00:00
